Personnage;Relation;Personnage lié;id;Acteur lié;Episodes
Joey;Collègue;Striker Ramorey;222;Eric Rutherford;['704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Monica;Petit%20Ami;Chip Matthews;223;Dan Gauthier;['402', '103', '315', '122', '105']
Joey;Collègue;Matthew Ashford;224;Matthew Ashford;['920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Phoebe;Petit%20Ami;Roger;225;Fisher Stevens;['113', '223', '805', '507', '715', '404']
Rachel;Ami;Betsy;226;Marissa Ribisi;['306', '104', '104', '820']
Joey;Collègue;Bob;227;Warren Berliner;['216', '911', '202', '212', '615', '704', '704', '615', '919']
Monica;Collègue;Employé de cuisine;228;Amy Smallman;['410', '312', '409', '103']
Joey;Collègue;El Hombre;229;Joel beeson;['202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Actrice dans Days of our Lives;230;Karma Kruschke;['212', '615', '704', '704', '615', '919']
Ross;Collègue;Professeur Spafford;231;Ken Lerner;['920', '102', '411', '618', '618', '411', '618', '922', '1006', '1006']
Chandler;Collègue;Drew;232;Michael DiMaggio;['410', '410', '915', '910', '805', '805', '108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Phoebe;Petit%20Ami;Tim;233;Kevin Rahm;['805', '507', '715', '404']
Chandler;Collègue;Jeanette;234;Cynthia Newman;['922', '122', '122']
Chandler;Collègue;Mike;234;Jamie Kaler;['410', '915', '910', '805', '805', '108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Joey;Petit%20Ami;Melanie;236;Corinne Bohrer;['124', '114', '1007', '1009', '407']
Joey;Collègue;Hope Brady;237;Kristian Alfonso;['615', '704', '704', '615', '919']
Joey;Famille;Nonnie Tribbiani;238;Lilyan Chauvin;['519', '113', '311', '311', '113', '311']
Rachel;Petit%20Ami;Dave;239;Zen Gesner;['502', '124']
Ross;Petit%20Ami;Petite amie scientifique de Ross;240;Sarah O’Hare;['707', '1011', '115', '608', '804', '1009']
Joey;Collègue;Infirmière, actrice de Days Of Our Lives;241;Cynthia Graham;['704', '704', '615', '919']
Joey;Collègue;Infirmière, actrice de Days Of Our Lives;242;Renee Louise Roger;['704', '615', '919']
Joey;Collègue;Dr Wesley;243;Kevin Spirtas;['615', '919']
Ross;Petit%20Ami;Adrienne Turner;244;Kimberley Davies;['1011', '115', '608', '804', '1009']
Ross;Famille;Ross enfant;245;Edo Azram;['304', '711', '108', '711', '818', '818']
Monica;Famille;Ross enfant;245;Edo Azram;['304', '711', '108', '711', '818', '818']
Monica;Petit%20Ami;Alan;246;Goeffrey Lower;['103', '315', '122', '105']
Monica;Petit%20Ami;Misha;247;Stephen Kearny;['315', '122', '105']
Chandler;Collègue;Jordan;248;Teck Holmes;['915', '910', '805', '805', '108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Rachel;Collègue;Kathy;249;Cody Tucher;['704', '312', '409', '1014', '608', '409', '518', '912', '624']
Joey;Collègue;Chase Lassiter;250;Blake Reed;['919']
Joey;Famille;Joey Tribbiani Sr;252;Robert Costanzo;['113', '311', '311', '113', '311']
Ross;Famille;Frannie;253;Robyn Donny;['711', '108', '711', '818', '818']
Monica;Famille;Frannie;253;Robyn Donny;['711', '108', '711', '818', '818']
Ross;Petit%20Ami;Celia;255;Melora Hardin;['115', '608', '804', '1009']
Rachel;Collègue;Nancy;256;Hilary Matthews;['312', '409', '1014', '608', '409', '518', '912', '624']
Joey;Petit%20Ami;Lorraine;257;Nancy Valen;['114', '1007', '1009', '407']
Monica;Petit%20Ami;Ethan;258;Stan Kirsch;['122', '105']
Phoebe;Petit%20Ami;Larry;260;Gregory Sporleder;['507', '715', '404']
Phoebe;Petit%20Ami;Tom;262;Jack Belts;['715', '404']
Joey;Famille;Mary-Theresa Tribbiani;263;Mimi Leiber;['311', '311', '113', '311']
Monica;Petit%20Ami;Bob;265;Jack Armstrong;['105']
Rachel;Petit%20Ami;Carl;266;Tommy Blaise;['124']
Phoebe;Ami;Lizzy;267;Beth Grant;['103', '1002', '1002', '903']
Rachel;Collègue;Mme Lynch;268;Jennifer Rhodes;['409', '1014', '608', '409', '518', '912', '624']
Chandler;Petit%20Ami;Danielle;269;Lynn Clark;['120', '205', '618']
Ross;Famille;Lilian;270;Elinor Donahue;['108', '711', '818', '818']
Monica;Famille;Lilian;270;Elinor Donahue;['108', '711', '818', '818']
Rachel;Collègue;Employé de Ralph Lauren;272;Alex Ball;['1014', '608', '409', '518', '912', '624']
Ross;Petit%20Ami;Hillary;274;Missy Pyle;['608', '804', '1009']
Joey;Famille;Nonna;275;Penny Santon;['311', '113', '311']
Ross;Petit%20Ami;Kristen;276;Lisa Thornbill;['804', '1009']
Chandler;Collègue;Mr Franklin;278;Geoff Pierson;['805', '805', '108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Ross;Famille;Tante Millie;279;Darlene Kardan;['711', '818', '818']
Monica;Famille;Tante Millie;279;Darlene Kardan;['711', '818', '818']
Phoebe;Ami;Colleen;280;Kellie Waymire;['1002', '1002', '903']
Ross;Collègue;Marsha;281;Merrill Merkoe;['102', '411', '618', '618', '411', '618', '922', '1006', '1006']
Chandler;Petit%20Ami;Jade;282;Britteny Powell;['205', '618']
Phoebe;Collègue;Bob;283;Tom Bailey;['510', '404', '921', '713']
Joey;Petit%20Ami;Laura;284;Maria Pitillo;['1007', '1009', '407']
Phoebe;Petit%20Ami;Rick;285;Jason Brooks;['404']
Ross;Famille;Oncle Dan;286;John C. Moskoff;['818', '818']
Monica;Famille;Oncle Dan;286;John C. Moskoff;['818', '818']
Phoebe;Famille;Leslie Buffay;287;Allisyn et Ashley Arm;['1002', '1002', '1002']
Phoebe;Famille;Chandler Buffay;288;Sierra Marcoux;['1002', '1002']
Ross;Famille;Tante Lisa;289;Ellen Gerstein;['818']
Monica;Famille;Tante Lisa;289;Ellen Gerstein;['818']
Phoebe;Famille;Frank Jr Jr Buffay;290;Dante Pastula;['1002']
Chandler;Collègue;Bob;291;Chris Parnell;['805', '108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Shelley;292;Nancy Cassaro;['108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Joey;Famille;Mary-Angela Tribbiani;293;non créditée;['311']
Chandler;Petit%20Ami;Dana;294;Bess Meyer;['618']
Monica;Collègue;Allessandro;295;Taylor Negron;['409', '103']
Rachel;Collègue;Mr Posner;296;Richard Fancy;['409', '518', '912', '624']
Phoebe;Ami;Bill;297;Jim Meskimen;['1002', '903']
Ross;Collègue;Andrew;298;Jack Ong;['411', '618', '618', '411', '618', '922', '1006', '1006']
Phoebe;Collègue;Mrs Potter;299;Rhoda Gemignani;['404', '921', '713']
Chandler;Collègue;Scott Alexander;300;Steve Park;['223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Monica;Collègue;Jeannine;301;Wendy Schall;['312', '409', '103']
Rachel;Collègue;Nancy;302;Megan Ward;['518', '912', '624']
Ross;Collègue;Burt;303;Richard Roat;['618', '618', '411', '618', '922', '1006', '1006']
Rachel;Ami;Joanne;304;Marianne Hagan;['104', '104', '820']
Chandler;Collègue;Lowell;305;Stuart Fratkin;['108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Joey;Petit%20Ami;Sarah;306;Anna Parisse;['1009', '407']
Rachel;Collègue;Heather;307;Cheryl Kennard;['912', '624']
Phoebe;Ami;Mary Ellen;309;Dedee Pfeiffer;['903']
Rachel;Ami;Leslie;310;Leesa Btyte;['104', '820']
Chandler;Collègue;Assistante un peu dingue de Chandler à Tulsa;311;Irene White;['909', '902', '619', '922', '324', '324', '922', '122', '122']
